,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
107,Ventral_root_L1_nerve_spinal_L1_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,L1_nerve,DM-C,30,0.026611328125,2.6611328125,node[111]
101,Ventral_root_L1_nerve_ilioinguinal_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,L1_nerve,DM-C,30,0.026611328125,2.6611328125,node[111]
86,Ventral_root_L1_nerve_genitofemoral_left_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,L1_nerve,DM-C,30,0.02734375,2.7343750000000004,node[36]
100,Ventral_root_L1_nerve_ilioinguinal_right_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,L1_nerve,DM-C,30,0.02880859375,2.880859375,node[132]
106,Ventral_root_L1_nerve_spinal_L1_right_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,L1_nerve,DM-C,30,0.029052734375,2.9052734375,node[132]
85,Ventral_root_L1_nerve_genitofemoral_left_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,L1_nerve,DM-C,30,0.0302734375,3.02734375,node[43]
89,Ventral_root_L1_nerve_genitofemoral_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,L1_nerve,DM-C,30,0.033203125,3.3203125000000004,node[31]
38,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T12_nerve,DM-C,30,0.03466796875,3.4667968750000004,node[69]
41,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T12_nerve,DM-C,30,0.034912109375,3.4912109375,node[69]
40,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_02 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T12_nerve,DM-C,30,0.036865234375,3.6865234375000004,node[83]
84,Ventral_root_L1_nerve_genitofemoral_left_01 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,L1_nerve,DM-C,30,0.037109375,3.7109375000000004,node[59]
37,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T12_nerve,DM-C,30,0.03759765625,3.759765625,node[83]
