,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
96,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_03 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T12_nerve,DM-R - Reversed,30,0.00628662109375,0.628662109375,node[35]
97,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_03 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T12_nerve,DM-R - Reversed,30,0.0087890625,0.87890625,node[26]
95,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T12_nerve,DM-R - Reversed,30,0.01007080078125,1.007080078125,node[33]
92,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T12_nerve,DM-R - Reversed,30,0.01031494140625,1.0314941406250002,node[33]
91,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T12_nerve,DM-R - Reversed,30,0.01055908203125,1.055908203125,node[40]
98,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_03 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T12_nerve,DM-R - Reversed,30,0.0106201171875,1.0620117187500002,node[22]
94,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T12_nerve,DM-R - Reversed,30,0.01080322265625,1.080322265625,node[47]
93,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T12_nerve,DM-R - Reversed,30,0.01177978515625,1.177978515625,node[64]
90,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T12_nerve,DM-R - Reversed,30,0.01177978515625,1.177978515625,node[64]
73,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_03 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.011962890625,1.1962890625,node[21]
70,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.01202392578125,1.2023925781250002,node[20]
67,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.0123291015625,1.2329101562500002,node[21]
66,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T11_nerve,DM-R - Reversed,30,0.012451171875,1.2451171875000002,node[29]
69,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T11_nerve,DM-R - Reversed,30,0.012451171875,1.2451171875000002,node[29]
72,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_03 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T11_nerve,DM-R - Reversed,30,0.012451171875,1.2451171875000002,node[29]
77,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DM-R - Reversed,30,0.0126953125,1.26953125,node[27]
80,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DM-R - Reversed,30,0.0126953125,1.26953125,node[27]
79,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.012939453125,1.2939453125000002,node[32]
76,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.012939453125,1.2939453125000002,node[32]
