,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
26,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R,30,0.0225830078125,2.25830078125,node[23]
23,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R,30,0.0225830078125,2.25830078125,node[24]
20,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_03 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R,30,0.0230712890625,2.3071289062500004,node[17]
14,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R,30,0.023193359375,2.3193359375,node[17]
17,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R,30,0.0233154296875,2.33154296875,node[17]
22,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DM-R,30,0.0234375,2.3437500000000004,node[28]
25,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_02 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DM-R,30,0.0235595703125,2.35595703125,node[28]
62,Nerve_ventral_root_T8_nerve_eighth_thoracic_left_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T8_nerve,DM-R,30,0.0242919921875,2.4291992187500004,node[17]
65,Nerve_ventral_root_T8_nerve_eighth_thoracic_left_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T8_nerve,DM-R,30,0.0244140625,2.44140625,node[17]
18,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_03 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,T11_nerve,DM-R,30,0.025390625,2.5390625,node[28]
