,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
71,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DO-C,30,0.080078125,8.007812500000002,node[56]
68,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DO-C,30,0.0810546875,8.10546875,node[56]
74,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_03 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DO-C,30,0.0810546875,8.10546875,node[56]
86,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_left_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T12_nerve,DO-C,30,0.0830078125,8.30078125,node[64]
83,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_left_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T12_nerve,DO-C,30,0.0830078125,8.30078125,node[64]
85,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_left_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T12_nerve,DO-C,30,0.083984375,8.3984375,node[76]
82,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_left_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T12_nerve,DO-C,30,0.0849609375,8.496093750000002,node[76]
62,Nerve_dorsal_root_T10_nerve_tenth_thoracic_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T10_nerve,DO-C,30,0.091796875,9.1796875,node[35]
65,Nerve_dorsal_root_T10_nerve_tenth_thoracic_right_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T10_nerve,DO-C,30,0.09228515625,9.228515625000002,node[35]
61,Nerve_dorsal_root_T10_nerve_tenth_thoracic_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T10_nerve,DO-C,30,0.0947265625,9.472656250000002,node[41]
64,Nerve_dorsal_root_T10_nerve_tenth_thoracic_right_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T10_nerve,DO-C,30,0.09521484375,9.521484375,node[41]
80,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DO-C,30,0.099609375,9.960937500000002,node[50]
63,Nerve_dorsal_root_T10_nerve_tenth_thoracic_right_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T10_nerve,DO-C,30,0.1005859375,10.05859375,node[55]
60,Nerve_dorsal_root_T10_nerve_tenth_thoracic_right_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T10_nerve,DO-C,30,0.1005859375,10.05859375,node[55]
77,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DO-C,30,0.1015625,10.15625,node[50]
131,Nerve_dorsal_root_T9_nerve_ninth_thoracic_left_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T9_nerve,DO-C,30,0.10546875,10.546875,node[27]
128,Nerve_dorsal_root_T9_nerve_ninth_thoracic_left_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T9_nerve,DO-C,30,0.1083984375,10.839843750000002,node[27]
130,Nerve_dorsal_root_T9_nerve_ninth_thoracic_left_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T9_nerve,DO-C,30,0.1123046875,11.23046875,node[32]
127,Nerve_dorsal_root_T9_nerve_ninth_thoracic_left_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T9_nerve,DO-C,30,0.11328125,11.328125000000002,node[31]
84,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_left_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T12_nerve,DO-C,30,0.11328125,11.328125000000002,node[103]
67,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DO-C,30,0.1142578125,11.425781250000002,node[67]
73,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_03 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DO-C,30,0.1142578125,11.425781250000002,node[67]
81,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_left_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T12_nerve,DO-C,30,0.1142578125,11.425781250000002,node[103]
70,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_left_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DO-C,30,0.115234375,11.5234375,node[66]
129,Nerve_dorsal_root_T9_nerve_ninth_thoracic_left_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T9_nerve,DO-C,30,0.1162109375,11.62109375,node[43]
126,Nerve_dorsal_root_T9_nerve_ninth_thoracic_left_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T9_nerve,DO-C,30,0.1181640625,11.816406250000002,node[43]
95,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T12_nerve,DO-C,30,0.134765625,13.4765625,node[67]
91,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T12_nerve,DO-C,30,0.138671875,13.867187500000002,node[80]
92,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T12_nerve,DO-C,30,0.1396484375,13.96484375,node[66]
94,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T12_nerve,DO-C,30,0.1416015625,14.16015625,node[80]
90,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T12_nerve,DO-C,30,0.1435546875,14.355468750000002,node[110]
93,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T12_nerve,DO-C,30,0.1484375,14.843750000000002,node[110]
53,Dorsal_root_L2_nerve_superior_cluneal_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,L2_nerve,DO-C,30,0.1494140625,14.94140625,node[39]
76,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DO-C,30,0.150390625,15.0390625,node[59]
79,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DO-C,30,0.150390625,15.0390625,node[58]
52,Dorsal_root_L2_nerve_superior_cluneal_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,L2_nerve,DO-C,30,0.1650390625,16.503906250000004,node[47]
59,Nerve_dorsal_root_T10_nerve_tenth_thoracic_left_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T10_nerve,DO-C,30,0.1689453125,16.89453125,node[25]
56,Nerve_dorsal_root_T10_nerve_tenth_thoracic_left_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T10_nerve,DO-C,30,0.169921875,16.992187500000004,node[25]
29,Dorsal_root_L1_nerve_superior_cluneal_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,L1_nerve,DO-C,30,0.173828125,17.3828125,node[19]
133,Nerve_dorsal_root_T9_nerve_ninth_thoracic_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T9_nerve,DO-C,30,0.1826171875,18.26171875,node[34]
136,Nerve_dorsal_root_T9_nerve_ninth_thoracic_right_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T9_nerve,DO-C,30,0.18359375,18.359375,node[34]
132,Nerve_dorsal_root_T9_nerve_ninth_thoracic_right_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T9_nerve,DO-C,30,0.1875,18.750000000000004,node[45]
135,Nerve_dorsal_root_T9_nerve_ninth_thoracic_right_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T9_nerve,DO-C,30,0.1884765625,18.84765625,node[46]
58,Nerve_dorsal_root_T10_nerve_tenth_thoracic_left_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T10_nerve,DO-C,30,0.197265625,19.726562500000004,node[29]
55,Nerve_dorsal_root_T10_nerve_tenth_thoracic_left_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T10_nerve,DO-C,30,0.197265625,19.726562500000004,node[29]
134,Nerve_dorsal_root_T9_nerve_ninth_thoracic_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T9_nerve,DO-C,30,0.19921875,19.921875000000004,node[29]
137,Nerve_dorsal_root_T9_nerve_ninth_thoracic_right_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T9_nerve,DO-C,30,0.19921875,19.921875000000004,node[29]
28,Dorsal_root_L1_nerve_superior_cluneal_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,L1_nerve,DO-C,30,0.19921875,19.921875000000004,node[24]
75,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T11_nerve,DO-C,30,0.201171875,20.1171875,node[36]
119,Nerve_dorsal_root_T8_nerve_eighth_thoracic_left_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T8_nerve,DO-C,30,0.201171875,20.1171875,node[21]
78,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T11_nerve,DO-C,30,0.203125,20.3125,node[37]
116,Nerve_dorsal_root_T8_nerve_eighth_thoracic_left_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T8_nerve,DO-C,30,0.205078125,20.5078125,node[21]
