,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
110,Ventral_root_L2_L3_L4_nerve_obturator_left_01 [Sensory MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,L2_L3,DO-I,30,0.00445556640625,0.44555664062500006,node[96]
108,Ventral_root_L2_L3_L4_nerve_obturator_left_01 [Sensory MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,L2_L3,DO-I,30,0.004486083984375,0.44860839843750006,node[164]
109,Ventral_root_L2_L3_L4_nerve_obturator_left_01 [Sensory MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,L2_L3,DO-I,30,0.0045166015625,0.45166015625,node[120]
107,Ventral_root_L1_nerve_spinal_L1_right_01 [Sensory MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,L1_nerve,DO-I,30,0.004669189453125,0.4669189453125,node[113]
101,Ventral_root_L1_nerve_ilioinguinal_right_01 [Sensory MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,L1_nerve,DO-I,30,0.004730224609375,0.4730224609375,node[112]
98,Ventral_root_L1_nerve_ilioinguinal_left_01 [Sensory MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,L1_nerve,DO-I,30,0.00494384765625,0.494384765625,node[111]
104,Ventral_root_L1_nerve_spinal_L1_left_01 [Sensory MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,L1_nerve,DO-I,30,0.00494384765625,0.494384765625,node[111]
97,Ventral_root_L1_nerve_ilioinguinal_left_01 [Sensory MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,L1_nerve,DO-I,30,0.0052490234375,0.52490234375,node[132]
103,Ventral_root_L1_nerve_spinal_L1_left_01 [Sensory MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,L1_nerve,DO-I,30,0.0052490234375,0.52490234375,node[132]
100,Ventral_root_L1_nerve_ilioinguinal_right_01 [Sensory MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,L1_nerve,DO-I,30,0.00543212890625,0.543212890625,node[133]
