,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
28,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_05 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0146484375,1.46484375,node[119]
10,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_02 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.014892578125,1.4892578125000002,node[119]
4,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_01 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.014892578125,1.4892578125000002,node[119]
64,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_02 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0150146484375,1.50146484375,node[119]
124,Nerve_root_L4_L5_sciatic_nerve_tibial_left_03 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0150146484375,1.50146484375,node[119]
130,Nerve_root_L4_L5_sciatic_nerve_tibial_left_04 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0150146484375,1.50146484375,node[119]
118,Nerve_root_L4_L5_sciatic_nerve_tibial_left_02 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0150146484375,1.50146484375,node[119]
136,Nerve_root_L4_L5_sciatic_nerve_tibial_left_05 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0150146484375,1.50146484375,node[119]
112,Nerve_root_L4_L5_sciatic_nerve_tibial_left_01 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0150146484375,1.50146484375,node[119]
22,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_04 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.01513671875,1.513671875,node[119]
82,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_05 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0152587890625,1.52587890625,node[118]
76,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_04 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-I - Reversed,30,0.0152587890625,1.52587890625,node[118]
