,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
38,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T12_nerve,DV-I - Reversed,30,0.0166015625,1.6601562500000002,node[30]
41,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T12_nerve,DV-I - Reversed,30,0.0166015625,1.6601562500000002,node[30]
40,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_02 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T12_nerve,DV-I - Reversed,30,0.0184326171875,1.8432617187500002,node[38]
37,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T12_nerve,DV-I - Reversed,30,0.0185546875,1.8554687500000002,node[38]
110,Ventral_root_L2_L3_L4_nerve_obturator_left_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,L2_L3,DV-I - Reversed,30,0.0186767578125,1.86767578125,node[113]
21,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_01 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,T11_nerve,DV-I - Reversed,30,0.02001953125,2.0019531250000004,node[35]
23,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DV-I - Reversed,30,0.0201416015625,2.01416015625,node[21]
26,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DV-I - Reversed,30,0.0201416015625,2.01416015625,node[20]
24,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_02 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,T11_nerve,DV-I - Reversed,30,0.0201416015625,2.01416015625,node[35]
22,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DV-I - Reversed,30,0.0205078125,2.05078125,node[25]
25,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_02 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DV-I - Reversed,30,0.0205078125,2.05078125,node[25]
8,Nerve_ventral_root_T10_nerve_tenth_thoracic_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T10_nerve,DV-I - Reversed,30,0.020751953125,2.0751953125,node[14]
