,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
59,Nerve_dorsal_root_T10_nerve_tenth_thoracic_left_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T10_nerve,DV-PU,30,0.003936767578125,0.3936767578125,node[249]
56,Nerve_dorsal_root_T10_nerve_tenth_thoracic_left_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T10_nerve,DV-PU,30,0.00396728515625,0.396728515625,node[248]
58,Nerve_dorsal_root_T10_nerve_tenth_thoracic_left_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T10_nerve,DV-PU,30,0.00469970703125,0.469970703125,node[295]
55,Nerve_dorsal_root_T10_nerve_tenth_thoracic_left_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T10_nerve,DV-PU,30,0.004791259765625,0.47912597656250006,node[296]
79,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_02 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DV-PU,30,0.004791259765625,0.47912597656250006,node[30]
76,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T11_nerve,DV-PU,30,0.00482177734375,0.482177734375,node[30]
78,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_02 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T11_nerve,DV-PU,30,0.0048828125,0.48828125,node[41]
75,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_01 [Sensory MRG Neuron 10.00um]  (Dorsal_Root_Nerves_(T7-L2)_10um),Sensory MRG Neuron,10.00um,T11_nerve,DV-PU,30,0.0048828125,0.48828125,node[41]
80,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_02 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DV-PU,30,0.00531005859375,0.5310058593750001,node[25]
77,Nerve_dorsal_root_T11_nerve_eleventh_thoracic_right_01 [Sensory MRG Neuron 20.00um]  (Dorsal_Root_Nerves_(T7-L2)_20um),Sensory MRG Neuron,20.00um,T11_nerve,DV-PU,30,0.005340576171875,0.5340576171875,node[27]
91,Nerve_dorsal_root_T12_nerve_twelfth_thoracic_right_01 [Sensory MRG Neuron 15.00um]  (Dorsal_Root_Nerves_(T7-L2)_15um),Sensory MRG Neuron,15.00um,T12_nerve,DV-PU,30,0.00634765625,0.634765625,node[39]
