,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
83,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_05 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.0595703125,5.957031250000001,node[103]
71,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_03 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.0595703125,5.957031250000001,node[103]
5,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_01 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.0595703125,5.957031250000001,node[103]
77,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_04 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.0595703125,5.957031250000001,node[103]
59,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_01 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.0595703125,5.957031250000001,node[103]
11,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_02 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.0595703125,5.957031250000001,node[103]
23,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_04 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.060546875,6.0546875,node[103]
113,Nerve_root_L4_L5_sciatic_nerve_tibial_left_01 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.060546875,6.0546875,node[103]
125,Nerve_root_L4_L5_sciatic_nerve_tibial_left_03 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.060546875,6.0546875,node[103]
65,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_02 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.060546875,6.0546875,node[103]
17,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_03 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.060546875,6.0546875,node[103]
137,Nerve_root_L4_L5_sciatic_nerve_tibial_left_05 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.060546875,6.0546875,node[103]
131,Nerve_root_L4_L5_sciatic_nerve_tibial_left_04 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.060546875,6.0546875,node[103]
119,Nerve_root_L4_L5_sciatic_nerve_tibial_left_02 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.060546875,6.0546875,node[103]
29,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_05 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L4_L5,DV-U,30,0.06103515625,6.103515625,node[103]
76,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_04 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.06396484375,6.396484375000001,node[122]
22,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_04 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.06396484375,6.396484375000001,node[122]
70,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_03 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.06396484375,6.396484375000001,node[122]
82,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_05 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.06396484375,6.396484375000001,node[122]
58,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_01 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.06396484375,6.396484375000001,node[122]
16,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_03 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.064453125,6.445312500000001,node[123]
28,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_05 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.06494140625,6.494140625,node[122]
64,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_02 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.0654296875,6.54296875,node[122]
124,Nerve_root_L4_L5_sciatic_nerve_tibial_left_03 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.0654296875,6.54296875,node[122]
136,Nerve_root_L4_L5_sciatic_nerve_tibial_left_05 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.0654296875,6.54296875,node[122]
130,Nerve_root_L4_L5_sciatic_nerve_tibial_left_04 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.0654296875,6.54296875,node[122]
118,Nerve_root_L4_L5_sciatic_nerve_tibial_left_02 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.0654296875,6.54296875,node[122]
4,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_01 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.0654296875,6.54296875,node[122]
10,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_02 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.0654296875,6.54296875,node[122]
112,Nerve_root_L4_L5_sciatic_nerve_tibial_left_01 [Sensory MRG Neuron 15.00um]  (Soleus_Sensory_Nerves_15um),Sensory MRG Neuron,15.00um,L4_L5,DV-U,30,0.0654296875,6.54296875,node[122]
9,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_02 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.0771484375,7.71484375,node[166]
3,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_01 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.0771484375,7.71484375,node[166]
123,Nerve_root_L4_L5_sciatic_nerve_tibial_left_03 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.080078125,8.007812500000002,node[165]
135,Nerve_root_L4_L5_sciatic_nerve_tibial_left_05 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.080078125,8.007812500000002,node[165]
129,Nerve_root_L4_L5_sciatic_nerve_tibial_left_04 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.080078125,8.007812500000002,node[165]
111,Nerve_root_L4_L5_sciatic_nerve_tibial_left_01 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.080078125,8.007812500000002,node[165]
63,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_02 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.080078125,8.007812500000002,node[165]
117,Nerve_root_L4_L5_sciatic_nerve_tibial_left_02 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.080078125,8.007812500000002,node[165]
27,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_05 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.08056640625,8.056640625,node[166]
15,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_03 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.08154296875,8.154296875,node[166]
21,Nerve_root_L4_L5_muscular_branches_of_nerve_sciatic_left_04 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.0830078125,8.30078125,node[166]
57,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_01 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.0830078125,8.30078125,node[166]
81,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_05 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.0830078125,8.30078125,node[166]
69,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_03 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.0830078125,8.30078125,node[166]
75,Nerve_root_L4_L5_sciatic_muscular_branches_of_nerve_tibial_left_04 [Sensory MRG Neuron 10.00um]  (Soleus_Sensory_Nerves_10um),Sensory MRG Neuron,10.00um,L4_L5,DV-U,30,0.0830078125,8.30078125,node[166]
191,Nerve_root_L5_muscular_branches_of_nerve_sciatic_left_02 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_muscular,DV-U,30,0.09130859375,9.130859375,node[0]
185,Nerve_root_L5_muscular_branches_of_nerve_sciatic_left_01 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_muscular,DV-U,30,0.09130859375,9.130859375,node[0]
203,Nerve_root_L5_muscular_branches_of_nerve_sciatic_left_04 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_muscular,DV-U,30,0.091796875,9.1796875,node[0]
239,Nerve_root_L5_sciatic_muscular_branches_of_nerve_tibial_left_01 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_sciatic,DV-U,30,0.091796875,9.1796875,node[0]
257,Nerve_root_L5_sciatic_muscular_branches_of_nerve_tibial_left_04 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_sciatic,DV-U,30,0.09326171875,9.326171875,node[0]
311,Nerve_root_L5_sciatic_nerve_tibial_left_04 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_sciatic,DV-U,30,0.09326171875,9.326171875,node[0]
299,Nerve_root_L5_sciatic_nerve_tibial_left_02 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_sciatic,DV-U,30,0.09326171875,9.326171875,node[0]
293,Nerve_root_L5_sciatic_nerve_tibial_left_01 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_sciatic,DV-U,30,0.09326171875,9.326171875,node[0]
251,Nerve_root_L5_sciatic_muscular_branches_of_nerve_tibial_left_03 [Sensory MRG Neuron 20.00um]  (Soleus_Sensory_Nerves_20um),Sensory MRG Neuron,20.00um,L5_sciatic,DV-U,30,0.09326171875,9.326171875,node[0]
