Config,Block,N_RTA,N_LTA,N_RRF,N_LRF,MeanAUC_RTA,MeanAUC_LTA,MeanAUC_RRF,MeanAUC_LRF
Baseline,63_noStim,10,10,10,10,0.000529166973483521,0.00131431602713179,0.00041020650124301,0.000599305379497061
Baseline,76_noStim,10,10,10,10,0.00121816885249871,0.00175347668549608,0.000711933421856445,0.00098158804319355
Config1,63_noStim,10,10,10,10,0.000413334571491495,0.00152287239513422,9.74014207633772e-05,9.0161763508571e-05
Config1,63_stim,10,10,10,10,0.000362689201251144,0.00214061391797339,9.69684294610976e-06,3.0559666008363e-05
Config1,76_noStim,10,10,10,10,0.00136844149462285,0.00350525401426836,0.000547160092795946,0.000299814692216288
Config1,76_stim,10,10,10,10,0.00208460271178488,0.00477115129664806,0.000610978273448542,0.000599038348859738
Config2,63_noStim,10,10,10,10,0.000135120750485115,0.000949069817857824,0.000244169978920974,0.000151268905625348
Config2,63_stim,10,10,10,10,0.000531309472347109,0.000666276584136507,0.000168968199923193,0.000117875945143936
Config2,76_noStim,10,10,10,10,0.00154078132101279,0.00284194377248691,0.000868342869814023,0.000770414751375254
Config2,76_stim,10,10,10,10,0.00114901114254044,0.00309258538450247,0.000382525335906218,0.000490391713232599
Config3,63_noStim,10,10,10,10,0.000979051831617817,0.000774060377681713,0.000393749212782593,0.00030214302645203
Config3,63_stim,10,10,10,10,0.000562981880813538,0.00205943469204798,0.000179042076347262,0.000783095424110604
Config3,76_noStim,10,10,10,10,0.00124095453738105,0.00274063482827082,0.00102862793989114,0.00115257908825886
Config3,76_stim,10,10,10,10,0.00154009859452606,0.00324041271622605,0.000848399245102057,0.00145903297531122
