DAQ_Trial,Stim_no,P2P,%MSO,Config,rta_min,rta_max,lta_min,lta_max,rrf_min,rrf_max,lrf_min,lrf_max
45,1,w/o stim,63,configuration 1 here!,-0.03727579,0.04169186,-0.07934872,0.04039731,-0.02740483,-0.002808352,-0.04018853,0.03214454
46,2,w/o stim,63,configuration 1 here!,-0.03080303,0.01838993,-0.09504516,0.137165,-0.03161212,0.005282596,-0.06753594,0.03780821
47,3,w/o stim,63,configuration 1 here!,-0.1597727,0.1575542,-0.07222869,0.0821466,-0.02756665,0.0004280272,-0.01170839,0.005120777
48,4,w/o stim,63,configuration 1 here!,-0.01915207,0.004958958,-0.1329108,0.1777816,-0.02513937,-0.001190162,-0.01284113,0.002369855
49,5,w/o stim,63,configuration 1 here!,-0.1557273,0.1348996,-0.1278944,0.2599857,-0.02869939,0.001075303,-0.0202848,0.01143172
50,1,w/o stim,63,configuration 1 here!,-0.01607751,0.006577148,-0.05475223,0.07227565,-0.02756665,0.001398941,-0.01235567,0.004311682
51,2,w/o stim,63,configuration 1 here!,-0.01122294,0.004958958,-0.1037834,0.1565833,-0.03145031,0.0009134841,-0.0134884,0.002046217
52,3,w/o stim,63,configuration 1 here!,-0.02093207,0.01547719,-0.1825892,0.256102,-0.02902302,0.005282596,-0.04391037,0.01499173
53,4,w/o stim,63,configuration 1 here!,-0.1588018,0.1287505,-0.2358277,0.164027,-0.02950848,0.003178949,-0.01251749,0.003988044
54,5,w/o stim,63,configuration 1 here!,-0.03889398,0.01466809,-0.1168907,0.181018,-0.02433027,0.00156076,-0.0142975,0.003017131
55,1,w/o stim,76,configuration 1 here!,-0.1490927,0.1187177,-0.128218,0.1107886,-0.05750316,0.03732275,-0.05086858,0.01029898
56,2,w/o stim,76,configuration 1 here!,-0.1511963,0.1583633,-0.1201271,0.09201755,-0.04488128,0.02874634,-0.01899025,0.0078717
57,3,w/o stim,76,configuration 1 here!,-0.2466695,0.2158091,-0.261395,0.2116018,-0.07756871,0.05269555,-0.04601401,0.02178813
58,4,w/o stim,76,configuration 1 here!,-0.1770874,0.21856,-0.2858297,0.4209955,-0.07514142,0.03408637,-0.03986489,0.01402082
59,5,w/o stim,76,configuration 1 here!,-0.1617146,0.1164522,-0.3079989,0.273093,-0.0416449,0.01531537,-0.01704842,0.008518975
60,1,w/o stim,76,configuration 1 here!,-0.2123639,0.2478492,-0.3673865,0.4360447,-0.09828153,0.06920108,-0.06834503,0.01838993
61,2,w/o stim,76,configuration 1 here!,-0.1206126,0.1196886,-0.3814647,0.3269787,-0.05895953,0.02987908,-0.08614511,0.06143377
62,3,w/o stim,76,configuration 1 here!,-0.1304835,0.113054,-0.3371263,0.3090168,-0.04941221,0.03570456,-0.04035035,0.0172572
63,4,w/o stim,76,configuration 1 here!,-0.1905183,0.2072327,-0.2704569,0.1494633,-0.08468875,0.04492824,-0.08695421,0.03036453
64,5,w/o stim,76,configuration 1 here!,-0.265926,0.2368455,-0.3740211,0.2570729,-0.09795789,0.05382828,-0.06154863,0.02405359
65,1,w stim,76,configuration 1 here!,-0.2523332,0.1685579,-0.4233758,0.7205226,-0.4730543,0.283773,-0.3842157,0.2858767
66,2,w stim,76,configuration 1 here!,-0.3952194,0.2300491,-0.3219153,0.3166223,-0.5130236,0.2797275,-0.3877757,0.2942913
67,3,w stim,76,configuration 1 here!,-0.1366326,0.266782,-0.2913316,0.2562638,-0.392792,0.2798894,-0.3811411,0.2764912
68,4,w stim,76,configuration 1 here!,-0.1955347,0.171147,-0.3494246,0.3122532,-0.3811411,0.2785948,-0.3872902,0.2834494
69,5,w stim,76,configuration 1 here!,-0.2246621,0.2412146,-0.3936011,0.2773003,-0.3790374,0.2798894,-0.3813029,0.2847439
70,1,w stim,76,configuration 1 here!,-0.172071,0.2616038,-0.2840497,0.3031913,-0.380332,0.3248751,-0.3775811,0.2761675
71,2,w stim,76,configuration 1 here!,-0.2034639,0.1818271,-0.3555737,0.2583674,-0.378552,0.3085313,-0.3736974,0.2737403
72,3,w stim,76,configuration 1 here!,-0.2282222,0.3080459,-0.2825933,0.1907271,-0.3796847,0.2787566,-0.3736974,0.2703421
73,4,w stim,76,configuration 1 here!,-0.2568641,0.2217964,-0.5995967,0.3449406,-0.3720792,0.2794039,-0.3711083,0.2913785
74,5,w stim,76,configuration 1 here!,-0.2011984,0.2970422,-0.3469973,0.2358746,-0.3782283,0.2823167,-0.3736974,0.2709893
75,1,w stim,63,configuration 1 here!,-0.01785751,0.005444415,-0.1045925,0.05221009,-0.3806556,0.280213,-0.3753156,0.2705039
76,2,w stim,63,configuration 1 here!,-0.224824,0.2538365,-0.2668969,0.2120872,-0.3717556,0.274873,-0.3809793,0.2679148
77,3,w stim,63,configuration 1 here!,-0.1542709,0.1418578,-0.1999038,0.2255182,-0.397323,0.2824785,-0.3738592,0.2729312
78,4,w stim,63,configuration 1 here!,-0.03064121,0.009813527,-0.1634946,0.2708275,-0.3827593,0.2852294,-0.3758011,0.2708275
79,5,w stim,63,configuration 1 here!,-0.01267931,0.003178949,-0.1643037,0.1235723,-0.3796847,0.280213,-0.3754774,0.2688857
80,1,w stim,63,configuration 1 here!,-0.01138476,0.003826225,-0.04439582,0.04104459,-0.3779047,0.2842585,-0.373212,0.2687239
81,2,w stim,63,configuration 1 here!,-0.06365228,0.02405359,-0.3308154,0.1386214,-0.3847011,0.2811839,-0.3808174,0.2758439
82,3,w stim,63,configuration 1 here!,-0.01478295,0.004311682,-0.1882529,0.3742298,-0.3788756,0.2805367,-0.3725647,0.2674293
83,4,w stim,63,configuration 1 here!,-0.03581942,0.07081927,-0.3421427,0.5221325,-0.3762865,0.281993,-0.3728883,0.2690475
